id_installation,installation,code_commune,commune,epci_code,epci_nom,code_departement,departement,basins_total_on_site,school_basins_total_on_site,students_per_basin_on_site,students_per_school_basin_on_site,schools_total,schools_geolocated_total,students_total,students_geolocated_total,primary_students,secondary_students,distance_coverage_share,drive_time_coverage_share,average_distance_to_installation_km,average_drive_time_to_installation_min,average_drive_distance_to_installation_km,average_distance_to_basin_km,students_within_5km_installation_share,students_within_15min_installation_share,basins_total,installations_total,school_basins_total,students_per_basin,students_per_installation,students_per_school_basin
I800210027,Piscine Le Nautilus (structurant),80021,Amiens,248000531,CA Amiens Métropole,80,Somme,3,3,4189.0,4189.0,82,53,12567,12567,7652,4915,1.0,1.0,5.217863,8.784667,6.461913,5.072487,0.606668,0.799554,3,1,3,4189.0,12567.0,4189.0
I603950010,Piscine des Sablons,60395,Méru,246000582,CC des Sablons,60,Oise,2,2,6080.0,6080.0,68,64,12160,12160,6314,5846,1.0,1.0,7.554485,12.200142,9.503833,7.588855,0.472615,0.607484,2,1,2,6080.0,12160.0,6080.0
I593500021,Piscine plein Sud,59350,Lille,200093201,Métropole Européenne de Lille,59,Nord,1,1,12139.0,12139.0,52,49,12139,12139,7560,4579,1.0,1.0,1.598148,4.326598,2.141608,1.467908,1.0,1.0,1,1,1,12139.0,12139.0,12139.0
I595070005,PISCINE MUNICIPALE,59507,Ronchin,200093201,Métropole Européenne de Lille,59,Nord,2,2,6016.5,6016.5,35,34,12033,12033,4786,7247,1.0,1.0,1.710587,5.931857,2.60384,1.649082,1.0,1.0,2,1,2,6016.5,12033.0,6016.5
I591220022,Stade Nautique Liberté,59122,Cambrai,200068500,CA de Cambrai,59,Nord,5,4,2404.2,3005.25,49,44,12021,12021,4650,7371,1.0,1.0,2.025065,4.30956,2.956546,1.907636,0.901589,0.952001,5,1,4,2404.2,12021.0,3005.25
I024080034,Le dôme - Centre aquatique & patinoire,02408,Laon,200043495,CA du Pays de Laon,02,Aisne,3,3,3819.0,3819.0,52,39,11457,11457,5499,5958,1.0,1.0,6.69218,12.146365,8.982158,6.250063,0.719909,0.750284,3,1,3,3819.0,11457.0,3819.0
I590090057,PISCINE DU TRIOLO,59009,Villeneuve-d'Ascq,200093201,Métropole Européenne de Lille,59,Nord,2,2,5550.0,5550.0,41,36,11100,11100,6182,4918,1.0,1.0,3.160286,8.71071,4.503595,2.881061,0.73045,0.755315,2,1,2,5550.0,11100.0,5550.0
I593680009,PISCINE MUNICIPALE,59368,La Madeleine,200093201,Métropole Européenne de Lille,59,Nord,2,2,5537.0,5537.0,33,30,11074,11074,5024,6050,1.0,1.0,1.352241,4.289664,1.914602,1.327654,1.0,1.0,2,1,2,5537.0,11074.0,5537.0
I596480018,Piscine ZEN & O,59648,Wattignies,200093201,Métropole Européenne de Lille,59,Nord,1,1,10266.0,10266.0,29,26,10266,10266,5849,4417,1.0,1.0,3.992864,8.050166,5.121109,4.164212,0.629846,0.967952,1,1,1,10266.0,10266.0,10266.0
I621600029,PISCINE MUNICIPALE,62160,Boulogne-sur-Mer,246200729,CA du Boulonnais,62,Pas-de-Calais,3,2,3406.666667,5110.0,41,37,10220,10220,4226,5994,1.0,1.0,1.844858,4.793697,2.55089,1.754628,0.963014,0.99726,3,1,2,3406.666667,10220.0,5110.0
I592950020,Piscine intercommunale d'Hazebrouck,59295,Hazebrouck,200040947,CC de Flandre Intérieure,59,Nord,2,2,5084.5,5084.5,42,34,10169,10169,4277,5892,1.0,1.0,4.01523,7.461174,5.134104,3.676579,0.656308,0.839316,2,1,2,5084.5,10169.0,5084.5
I021680004,Complexe Citélium,02168,Château-Thierry,200072031,CA de la Région de Château-Thierry,02,Aisne,3,3,3352.0,3352.0,50,43,10056,10056,6237,3819,1.0,1.0,7.428225,14.463176,10.748305,7.125526,0.553202,0.587908,3,1,3,3352.0,10056.0,3352.0
I602820009,PISCINE AQUALIS,60282,Gouvieux,246000764,CC de l'Aire Cantilienne,60,Oise,4,2,2513.5,5027.0,43,35,10054,10054,5220,4834,1.0,1.0,3.842984,10.353664,5.907092,4.044904,0.808236,0.876069,4,1,2,2513.5,10054.0,5027.0
