epci_code,epci_nom,code_departement,departement,schools_total,schools_geolocated_total,students_total,students_geolocated_total,primary_students,secondary_students,distance_coverage_share,drive_time_coverage_share,average_distance_to_installation_km,average_drive_time_to_installation_min,average_drive_distance_to_installation_km,average_distance_to_basin_km,students_within_5km_installation_share,students_within_15min_installation_share,basins_total,installations_total,school_basins_total,students_per_basin,students_per_installation,students_per_school_basin
246000871,Communauté de communes du Pays de Valois,60,60 - Oise,60,58,8089,8089,4682,3407,1.0,1.0,17.677203,19.664176,21.602635,16.311863,0.00272,0.063172,0,0,0,0.0,0.0,0.0
246000376,Communauté de communes du Clermontois,60,60 - Oise,31,31,6691,6691,3042,3649,1.0,1.0,11.75377,14.912287,14.983203,11.654841,0.0,0.668809,0,0,0,0.0,0.0,0.0
200043321,Communauté de communes du Pays de Mormal,59,59 - Nord,34,34,6439,6439,2555,3884,1.0,1.0,10.844314,16.931926,13.479342,10.716721,0.0,0.096599,0,0,0,0.0,0.0,0.0
245900758,Communauté de communes Flandre Lys,59,59 - Nord,17,17,5594,5594,2226,3368,1.0,1.0,10.045058,17.273014,12.100664,10.039016,0.029675,0.122989,0,0,0,0.0,0.0,0.0
200070951,Communauté de communes du Territoire Nord Picardie,80,80 - Somme,22,21,4184,4102,1629,2555,0.980402,0.980402,13.516071,17.943859,15.086554,13.514954,0.0,0.283033,0,0,0,0.0,0.0,0.0
240200444,Communauté de communes de la Thiérache du Centre,02,02 - Aisne,25,25,4183,4183,2289,1894,1.0,1.0,14.069112,20.699405,17.196148,13.859901,0.0,0.0,0,0,0,0.0,0.0,0.0
246200380,Communauté de communes de la Terre des Deux Caps,62,62 - Pas-de-Calais,24,24,3371,3371,1966,1405,1.0,1.0,11.173624,14.325197,15.440958,10.940565,0.0,0.692376,0,0,0,0.0,0.0,0.0
200069482,Communauté de communes des Campagnes de l'Artois,62,62 - Pas-de-Calais,38,38,3311,3311,1920,1391,1.0,1.0,12.215037,17.453585,14.714362,11.733274,0.117789,0.501661,0,0,0,0.0,0.0,0.0
200070936,Communauté de communes Ponthieu-Marquenterre,80,80 - Somme,21,20,3245,3245,1708,1537,1.0,1.0,15.396929,20.98547,18.958066,15.409491,0.0,0.143297,0,0,0,0.0,0.0,0.0
246000566,Communauté de communes du Plateau Picard,60,60 - Oise,32,32,3224,3224,2144,1080,1.0,1.0,14.670731,20.245369,17.328801,14.486756,0.013648,0.155087,0,0,0,0.0,0.0,0.0
240200501,Communauté de communes du Val de l'Aisne,02,02 - Aisne,18,18,2993,2993,2003,990,1.0,1.0,25.276793,32.248343,31.605234,23.035139,0.0,0.0,0,0,0,0.0,0.0,0.0
200071223,Communauté de communes Nièvre et Somme,80,80 - Somme,19,18,2952,2952,1385,1567,1.0,1.0,16.578662,20.673706,20.942302,15.686435,0.0,0.285908,0,0,0,0.0,0.0,0.0
200071181,Communauté de communes Somme Sud-Ouest,80,80 - Somme,22,21,2943,2943,1292,1651,1.0,1.0,17.091838,23.142898,20.241534,16.398197,0.0,0.058444,0,0,0,0.0,0.0,0.0
246000707,Communauté de communes du Vexin-Thelle,60,60 - Oise,24,24,2513,2513,1671,842,1.0,1.0,18.825419,27.746315,22.917247,18.82349,0.0,0.0,0,0,0,0.0,0.0,0.0
