uai,school_name,school_level,code_commune,commune,epci_code,epci_nom,code_departement,departement,students_total,latitude,longitude,nearest_transit_hub_id,nearest_transit_hub,nearest_transit_modes,nearest_transit_distance_km,active_transit_hubs_within_500m,active_transit_hubs_within_1000m,weekday_trips_within_500m,weekday_trips_within_1000m
0593225K,Marcq Institution - Lycée,Lycée GT,59378,Marcq-en-Baroeul,200093201,Métropole Européenne de Lille,59,59 - Nord,957,50.680199,3.107249,STOPAREA:59:2636,MARCQ EN BAROEUL - Clemenceau Hippodrome,,2.169,0,0,0,0
0596122J,École Jeannine Manuel - Lycée,Lycée GT,59378,Marcq-en-Baroeul,200093201,Métropole Européenne de Lille,59,59 - Nord,223,50.690389,3.12131,StopArea:OCE87286716,Croix - Wasquehal,,1.77,0,0,0,0
0595993U,École Jeannine Manuel - collège,Collège,59378,Marcq-en-Baroeul,200093201,Métropole Européenne de Lille,59,59 - Nord,295,50.690549,3.12112,StopArea:OCE87286716,Croix - Wasquehal,,1.792,0,0,0,0
0597115N,École européenne Lille Métropole Jacques Delors - collège et lycée,Collège + Lycée GT,59378,Marcq-en-Baroeul,200093201,Métropole Européenne de Lille,59,59 - Nord,317,50.662191,3.086763,STOPAREA:59:2636,MARCQ EN BAROEUL - Clemenceau Hippodrome,bus,0.694,0,2,0,4
0593474F,Collège professeur Albert Debeyre,Collège,59386,Marquette-lez-Lille,200093201,Métropole Européenne de Lille,59,59 - Nord,591,50.680406,3.067831,STOPAREA:59:1494,MARQUETTE LEZ LILLE - P.N,,1.473,0,0,0,0
0593908C,Ecole primaire privée Saint Joseph,École,59386,Marquette-lez-Lille,200093201,Métropole Européenne de Lille,59,59 - Nord,235,50.672798,3.06554,STOPAREA:59:1494,MARQUETTE LEZ LILLE - P.N,bus,1.0,0,1,0,2
0591790A,Groupe scolaire Alouettes - Paul Bert,École,59386,Marquette-lez-Lille,200093201,Métropole Européenne de Lille,59,59 - Nord,235,50.677999,3.060569,STOPAREA:59:1494,MARQUETTE LEZ LILLE - P.N,bus,0.912,0,1,0,2
0594378N,Groupe scolaire Cousteau - Van Hecke,École,59386,Marquette-lez-Lille,200093201,Métropole Européenne de Lille,59,59 - Nord,333,50.668889,3.066611,STOPAREA:59:1466,MARCQ EN BAROEUL - Doumer,bus,0.822,0,1,0,2
0596471N,Groupe scolaire Jeanne de Flandre,École,59386,Marquette-lez-Lille,200093201,Métropole Européenne de Lille,59,59 - Nord,300,50.666977,3.04175,STOPAREA:59:2660,SAINT ANDRE LEZ LILLE - Lommelet,bus,0.581,0,3,0,6
0590155Y,Collège Descartes,Collège,59410,Mons-en-Baroeul,200093201,Métropole Européenne de Lille,59,59 - Nord,407,50.635669,3.10708,StopArea:OCE87286062,Hellemmes,,1.552,0,0,0,0
0593178J,Collège François Rabelais,Collège,59410,Mons-en-Baroeul,200093201,Métropole Européenne de Lille,59,59 - Nord,465,50.641729,3.11752,STOPAREA:59:2382,VILLENEUVE D ASCQ - Les Prés - Edgard Pisani,,1.128,0,0,0,0
0593218C,Collège Lacordaire,Collège,59410,Mons-en-Baroeul,200093201,Métropole Européenne de Lille,59,59 - Nord,462,50.641613,3.09587,StopArea:OCE87223263,Lille Europe,,1.442,0,0,0,0
0592821W,Ecole maternelle Anne Frank,École,59410,Mons-en-Baroeul,200093201,Métropole Européenne de Lille,59,59 - Nord,89,50.63797,3.11328,STOPAREA:59:2382,VILLENEUVE D ASCQ - Les Prés - Edgard Pisani,,1.642,0,0,0,0
0591592K,Ecole maternelle Charles Perrault,École,59410,Mons-en-Baroeul,200093201,Métropole Européenne de Lille,59,59 - Nord,184,50.64253,3.10125,STOPAREA:59:1467,MARCQ EN BAROEUL - Place Tiers,,1.765,0,0,0,0
0591878W,Ecole maternelle La Fontaine,École,59410,Mons-en-Baroeul,200093201,Métropole Européenne de Lille,59,59 - Nord,89,50.636841,3.108863,StopArea:OCE87286062,Hellemmes,,1.637,0,0,0,0
0594954P,Ecole maternelle Le Petit Prince,École,59410,Mons-en-Baroeul,200093201,Métropole Européenne de Lille,59,59 - Nord,103,50.646228,3.11324,STOPAREA:59:2382,VILLENEUVE D ASCQ - Les Prés - Edgard Pisani,,1.04,0,0,0,0
0595053X,Ecole maternelle Montaigne,École,59410,Mons-en-Baroeul,200093201,Métropole Européenne de Lille,59,59 - Nord,132,50.647602,3.11953,STOPAREA:59:2382,VILLENEUVE D ASCQ - Les Prés - Edgard Pisani,bus,0.574,0,1,0,20
0592660W,Ecole maternelle Reine Astrid,École,59410,Mons-en-Baroeul,200093201,Métropole Européenne de Lille,59,59 - Nord,111,50.639053,3.10778,STOPAREA:59:2382,VILLENEUVE D ASCQ - Les Prés - Edgard Pisani,,1.809,0,0,0,0
0593913H,Ecole primaire privée Saint Honoré - La Treille,École,59410,Mons-en-Baroeul,200093201,Métropole Européenne de Lille,59,59 - Nord,273,50.644815,3.10335,STOPAREA:59:1467,MARCQ EN BAROEUL - Place Tiers,,1.512,0,0,0,0
0592682V,Ecole élémentaire Hélène Boucher,École,59410,Mons-en-Baroeul,200093201,Métropole Européenne de Lille,59,59 - Nord,150,50.638278,3.11345,STOPAREA:59:2382,VILLENEUVE D ASCQ - Les Prés - Edgard Pisani,,1.607,0,0,0,0
0595094S,Ecole élémentaire Montaigne,École,59410,Mons-en-Baroeul,200093201,Métropole Européenne de Lille,59,59 - Nord,165,50.647618,3.11377,STOPAREA:59:2382,VILLENEUVE D ASCQ - Les Prés - Edgard Pisani,bus,0.951,0,1,0,20
0593577T,Ecole élémentaire Ronsard,École,59410,Mons-en-Baroeul,200093201,Métropole Européenne de Lille,59,59 - Nord,160,50.639697,3.108051,STOPAREA:59:2382,VILLENEUVE D ASCQ - Les Prés - Edgard Pisani,,1.747,0,0,0,0
0591875T,Ecole élémentaire Sévigné,École,59410,Mons-en-Baroeul,200093201,Métropole Européenne de Lille,59,59 - Nord,168,50.644468,3.10264,STOPAREA:59:1467,MARCQ EN BAROEUL - Place Tiers,,1.549,0,0,0,0
0596629K,Ecole élémentaire publique des Provinces,École,59410,Mons-en-Baroeul,200093201,Métropole Européenne de Lille,59,59 - Nord,460,50.642975,3.11484,STOPAREA:59:2382,VILLENEUVE D ASCQ - Les Prés - Edgard Pisani,,1.148,0,0,0,0
0591874S,Groupe scolaire Guynemer-Rollin,École,59410,Mons-en-Baroeul,200093201,Métropole Européenne de Lille,59,59 - Nord,330,50.642378,3.09869,StopArea:OCE87223263,Lille Europe,,1.653,0,0,0,0
0594527A,Collège Maxence Van Der Meersch,Collège,59421,Mouvaux,200093201,Métropole Européenne de Lille,59,59 - Nord,331,50.704916,3.131189,STOPAREA:59:0384,BONDUES - Château d'Eau,,2.301,0,0,0,0
0595312D,Ecole maternelle Saint-Exupéry,École,59421,Mouvaux,200093201,Métropole Européenne de Lille,59,59 - Nord,90,50.708798,3.13095,STOPAREA:59:0384,BONDUES - Château d'Eau,,1.981,0,0,0,0
0591901W,Ecole maternelle Victor Hugo,École,59421,Mouvaux,200093201,Métropole Européenne de Lille,59,59 - Nord,90,50.701603,3.1481,StopArea:OCE87286732,Roubaix,,1.277,0,0,0,0
0594480Z,Ecole primaire Lucie Aubrac,École,59421,Mouvaux,200093201,Métropole Européenne de Lille,59,59 - Nord,222,50.701666,3.13673,StopArea:OCE87281055,Croix l'Allumette,,1.939,0,0,0,0
0594045B,Ecole primaire privée Sacré-Coeur-Saint Paul,École,59421,Mouvaux,200093201,Métropole Européenne de Lille,59,59 - Nord,594,50.70335,3.14772,StopArea:OCE87286732,Roubaix,,1.41,0,0,0,0
0594044A,Ecole primaire privée Saint François,École,59421,Mouvaux,200093201,Métropole Européenne de Lille,59,59 - Nord,181,50.715953,3.13949,StopArea:OCE87286542,Tourcoing,,2.011,0,0,0,0
0593916L,Ecole primaire privée Sainte Jeanne d'Arc,École,59421,Mouvaux,200093201,Métropole Européenne de Lille,59,59 - Nord,434,50.702981,3.13441,StopArea:OCE87281055,Croix l'Allumette,,2.15,0,0,0,0
0593657E,Ecole élémentaire Victor Hugo,École,59421,Mouvaux,200093201,Métropole Européenne de Lille,59,59 - Nord,296,50.701253,3.1478,StopArea:OCE87286732,Roubaix,,1.275,0,0,0,0
0594537L,Collège Jules Verne,Collège,59426,Neuville-en-Ferrain,200093201,Métropole Européenne de Lille,59,59 - Nord,322,50.74748,3.164311,STOPAREA:59:1644,NEUVILLE EN FERRAIN - Eglise,bus,0.854,0,1,0,2
0594833H,Collège Saint-Joseph,Collège,59426,Neuville-en-Ferrain,200093201,Métropole Européenne de Lille,59,59 - Nord,550,50.75065,3.15502,STOPAREA:59:1644,NEUVILLE EN FERRAIN - Eglise,bus,0.122,1,1,2,2
0596532E,Ecole primaire Camille Claudel,École,59426,Neuville-en-Ferrain,200093201,Métropole Européenne de Lille,59,59 - Nord,322,50.749498,3.17981,STOPAREA:59:1644,NEUVILLE EN FERRAIN - Eglise,,1.871,0,0,0,0
0594859L,Ecole primaire privée Lacordaire,École,59426,Neuville-en-Ferrain,200093201,Métropole Européenne de Lille,59,59 - Nord,532,50.743552,3.158121,STOPAREA:59:1644,NEUVILLE EN FERRAIN - Eglise,bus,0.864,0,1,0,2
0596531D,Groupe scolaire Ambroise Paré,École,59426,Neuville-en-Ferrain,200093201,Métropole Européenne de Lille,59,59 - Nord,197,50.748442,3.159531,STOPAREA:59:1644,NEUVILLE EN FERRAIN - Eglise,bus,0.506,0,1,0,2
0596530C,Groupe scolaire européen Lamartine,École,59426,Neuville-en-Ferrain,200093201,Métropole Européenne de Lille,59,59 - Nord,220,50.742172,3.15776,STOPAREA:59:1644,NEUVILLE EN FERRAIN - Eglise,bus,0.999,0,1,0,2
0596585M,Ecole primaire publique Alphonse Theeten,École,59437,Noyelles-lès-Seclin,200093201,Métropole Européenne de Lille,59,59 - Nord,111,50.576582,3.01137,STOPAREA:59:1691,NOYELLES LES SECLIN - Marais,bus,0.112,4,5,120,166
0595758N,Collège Dolet,Collège,59477,Provin,200093201,Métropole Européenne de Lille,59,59 - Nord,437,50.521371,2.899601,STOPAREA:59:0215,BAUVIN - Stade,bus,0.63,0,3,0,103
0594053K,Ecole primaire privée Notre-Dame,École,59477,Provin,200093201,Métropole Européenne de Lille,59,59 - Nord,402,50.512644,2.90888,STOPAREA:59:1812,PROVIN - Eglise,bus | rail,0.107,3,5,125,208
0596644B,Groupe scolaire public Marie Curie - Charles Vion,École,59477,Provin,200093201,Métropole Européenne de Lille,59,59 - Nord,365,50.514323,2.91285,STOPAREA:59:1813,PROVIN - Mairie,bus | rail,0.252,2,4,80,167
0594604J,Ecole primaire Jean-Loup Chrétien,École,59470,Prémesques,200093201,Métropole Européenne de Lille,59,59 - Nord,174,50.656416,2.95231,StopArea:OCE87286278,Pérenchies,,2.118,0,0,0,0
0594628K,Collège Jacques Monod,Collège,59457,Pérenchies,200093201,Métropole Européenne de Lille,59,59 - Nord,344,50.669699,2.97351,StopArea:OCE87286278,Pérenchies,bus | rail,0.395,1,1,40,40
0592901H,Collège Sainte-Marie,Collège,59457,Pérenchies,200093201,Métropole Européenne de Lille,59,59 - Nord,346,50.66847,2.977109,StopArea:OCE87286278,Pérenchies,bus | rail,0.159,1,1,40,40
0595067M,Ecole maternelle Maria Montessori,École,59457,Pérenchies,200093201,Métropole Européenne de Lille,59,59 - Nord,148,50.670847,2.973121,StopArea:OCE87286278,Pérenchies,bus | rail,0.513,0,1,0,40
0591027W,Ecole maternelle Pasteur,École,59457,Pérenchies,200093201,Métropole Européenne de Lille,59,59 - Nord,252,50.670334,2.97209,StopArea:OCE87286278,Pérenchies,bus | rail,0.515,0,1,0,40
0593921S,Ecole primaire privée Sainte Marie,École,59457,Pérenchies,200093201,Métropole Européenne de Lille,59,59 - Nord,254,50.668783,2.97793,StopArea:OCE87286278,Pérenchies,bus | rail,0.199,1,1,40,40
0591026V,Ecole élémentaire Jean Macé niveau 1,École,59457,Pérenchies,200093201,Métropole Européenne de Lille,59,59 - Nord,119,50.670078,2.97234,StopArea:OCE87286278,Pérenchies,bus | rail,0.483,1,1,40,40
0591025U,Ecole élémentaire Jules Ferry niveau 2,École,59457,Pérenchies,200093201,Métropole Européenne de Lille,59,59 - Nord,226,50.671426,2.972601,StopArea:OCE87286278,Pérenchies,bus | rail,0.587,0,1,0,40
0593637H,Ecole primaire La Fontaine,École,59458,Péronne-en-Mélantois,200093201,Métropole Européenne de Lille,59,59 - Nord,113,50.566768,3.16631,STOPAREA:59:1756,PERONNE EN MELANTOIS - Chemin des Ecoliers,bus,0.117,1,2,25,46
0591973Z,Ecole primaire Jean Macé,École,59482,Quesnoy-sur-Deûle,200093201,Métropole Européenne de Lille,59,59 - Nord,316,50.71128,3.00368,STOPAREA:59:1825,QUESNOY SUR DEULE - Centre,bus,0.395,1,1,2,2
0596336S,Ecole primaire privée Sainte Marie,École,59482,Quesnoy-sur-Deûle,200093201,Métropole Européenne de Lille,59,59 - Nord,385,50.714323,2.99946,STOPAREA:59:1825,QUESNOY SUR DEULE - Centre,bus,0.096,1,1,2,2
0591972Y,Ecole élémentaire Jules Ferry,École,59482,Quesnoy-sur-Deûle,200093201,Métropole Européenne de Lille,59,59 - Nord,101,50.714519,2.9987,STOPAREA:59:1825,QUESNOY SUR DEULE - Centre,bus,0.123,1,1,2,2
0591979F,Ecole primaire,École,59487,Radinghem-en-Weppes,200093201,Métropole Européenne de Lille,59,59 - Nord,140,50.622306,2.90487,STOPAREA:59:1846,RADINGHEM EN WEPPES - Mairie,bus,0.066,2,5,8,18
0594865T,Collège Anatole France,Collège,59507,Ronchin,200093201,Métropole Européenne de Lille,59,59 - Nord,377,50.611817,3.080531,StopArea:OCE87287250,Lille Porte de Douai,bus | rail,0.386,2,6,61,224
0593237Y,Collège Gernez Rieux,Collège,59507,Ronchin,200093201,Métropole Européenne de Lille,59,59 - Nord,511,50.599006,3.091457,STOPAREA:59:0883,FACHES THUMESNIL - Rubens,bus,0.745,0,3,0,45
0595098W,Ecole maternelle Albert Samain,École,59507,Ronchin,200093201,Métropole Européenne de Lille,59,59 - Nord,73,50.597794,3.095319,STOPAREA:59:0883,FACHES THUMESNIL - Rubens,bus,0.93,0,1,0,15
0594719J,Ecole maternelle Charles Perrault,École,59507,Ronchin,200093201,Métropole Européenne de Lille,59,59 - Nord,48,50.595942,3.088109,STOPAREA:59:0883,FACHES THUMESNIL - Rubens,bus,0.383,1,4,15,60
0594962Y,Ecole maternelle George Sand,École,59507,Ronchin,200093201,Métropole Européenne de Lille,59,59 - Nord,53,50.596028,3.092581,STOPAREA:59:0883,FACHES THUMESNIL - Rubens,bus,0.695,0,3,0,45
0592032N,Ecole maternelle Madame René Coty,École,59507,Ronchin,200093201,Métropole Européenne de Lille,59,59 - Nord,302,50.601419,3.0977,STOPAREA:59:1890,RONCHIN - Destoop,,1.242,0,0,0,0
0592665B,Ecole maternelle Marceline Desbordes-Valmore,École,59507,Ronchin,200093201,Métropole Européenne de Lille,59,59 - Nord,120,50.600456,3.08804,STOPAREA:59:1890,RONCHIN - Destoop,bus | rail,0.554,0,4,0,88
0592033P,Ecole maternelle Pauline Kergomard,École,59507,Ronchin,200093201,Métropole Européenne de Lille,59,59 - Nord,302,50.602802,3.08776,STOPAREA:59:1890,RONCHIN - Destoop,bus | rail,0.606,0,5,0,103
0594964A,Ecole primaire Lacore - Ferry,École,59507,Ronchin,200093201,Métropole Européenne de Lille,59,59 - Nord,758,50.607347,3.0801,STOPAREA:59:1892,RONCHIN - Marronniers,bus | rail,0.264,3,6,73,149
0594061U,Ecole primaire privée Notre-Dame de Lourdes,École,59507,Ronchin,200093201,Métropole Européenne de Lille,59,59 - Nord,332,50.605328,3.07677,STOPAREA:59:1891,RONCHIN - Mairie,bus | rail,0.035,3,5,73,134
0594605K,Ecole élémentaire Guy Mollet,École,59507,Ronchin,200093201,Métropole Européenne de Lille,59,59 - Nord,346,50.600276,3.087401,STOPAREA:59:1890,RONCHIN - Destoop,bus | rail,0.509,0,5,0,103
0594963Z,Ecole élémentaire Jean Moulin-Hélène Boucher,École,59507,Ronchin,200093201,Métropole Européenne de Lille,59,59 - Nord,616,50.601851,3.096688,STOPAREA:59:1890,RONCHIN - Destoop,,1.178,0,0,0,0
0592028J,Ecole élémentaire Pierre Brossolette,École,59507,Ronchin,200093201,Métropole Européenne de Lille,59,59 - Nord,234,50.605391,3.08532,StopArea:OCE87286534,Ronchin,bus | rail,0.502,0,4,0,88
0593668S,Collège Paul Éluard,Collège,59508,Roncq,200093201,Métropole Européenne de Lille,59,59 - Nord,274,50.749732,3.126857,STOPAREA:59:1896,RONCQ - Place,bus,0.62,0,1,0,2
0592039W,Ecole maternelle Pauline Kergomard,École,59508,Roncq,200093201,Métropole Européenne de Lille,59,59 - Nord,226,50.756143,3.124221,STOPAREA:59:1896,RONCQ - Place,bus,0.366,1,1,2,2
0595215Y,Ecole primaire Picasso - Brel,École,59508,Roncq,200093201,Métropole Européenne de Lille,59,59 - Nord,232,50.742774,3.130051,STOPAREA:59:1893,RONCQ - Blanc Four (rue de Lille),,1.204,0,0,0,0
0596459A,Ecole primaire privée Saint François,École,59508,Roncq,200093201,Métropole Européenne de Lille,59,59 - Nord,287,50.753228,3.125479,STOPAREA:59:1896,RONCQ - Place,bus,0.341,1,1,2,2
0594063W,Ecole primaire privée Saint Roch,École,59508,Roncq,200093201,Métropole Européenne de Lille,59,59 - Nord,396,50.736729,3.11601,STOPAREA:59:1893,RONCQ - Blanc Four (rue de Lille),bus,0.039,2,2,3,3
0596626G,Ecole élémentaire publique Pablo Neruda-Elsa Triolet,École,59508,Roncq,200093201,Métropole Européenne de Lille,59,59 - Nord,179,50.75771,3.1142,STOPAREA:59:1896,RONCQ - Place,bus,0.637,0,1,0,2
0592037U,Groupe scolaire Curie-Jaurès,École,59508,Roncq,200093201,Métropole Européenne de Lille,59,59 - Nord,164,50.736449,3.11665,STOPAREA:59:1893,RONCQ - Blanc Four (rue de Lille),bus,0.094,2,2,3,3
0594389A,Collège Anne Frank,Collège,59512,Roubaix,200093201,Métropole Européenne de Lille,59,59 - Nord,538,50.694045,3.175801,STOPAREA:59:1918,ROUBAIX - Eurotéléport,bus | rail,0.435,1,2,2,40
0595167W,Collège Charles Baudelaire,Collège,59512,Roubaix,200093201,Métropole Européenne de Lille,59,59 - Nord,367,50.679873,3.16864,StopArea:OCE87281055,Croix l'Allumette,,1.455,0,0,0,0
0590190L,Collège Jean-Baptiste Lebas,Collège,59512,Roubaix,200093201,Métropole Européenne de Lille,59,59 - Nord,488,50.681018,3.18307,STOPAREA:59:1919,ROUBAIX - Fraternité,bus,0.849,0,2,0,4
0592917A,Collège Jeanne d'Arc,Collège,59512,Roubaix,200093201,Métropole Européenne de Lille,59,59 - Nord,697,50.678183,3.167429,StopArea:OCE87281055,Croix l'Allumette,,1.496,0,0,0,0
0590183D,Collège Madame de Sévigné,Collège,59512,Roubaix,200093201,Métropole Européenne de Lille,59,59 - Nord,403,50.693178,3.16492,StopArea:OCE87286732,Roubaix,bus | rail,0.283,1,1,38,38
0595168X,Collège Maxence Van Der Meersch,Collège,59512,Roubaix,200093201,Métropole Européenne de Lille,59,59 - Nord,478,50.681281,3.20722,STOPAREA:59:1919,ROUBAIX - Fraternité,bus,0.878,0,1,0,2
0592886S,Collège Pascal,Collège,59512,Roubaix,200093201,Métropole Européenne de Lille,59,59 - Nord,432,50.689547,3.175911,STOPAREA:59:1918,ROUBAIX - Eurotéléport,bus,0.36,1,2,2,4
0593667R,Collège Rosa Parks,Collège,59512,Roubaix,200093201,Métropole Européenne de Lille,59,59 - Nord,564,50.70143,3.186461,STOPAREA:59:1918,ROUBAIX - Eurotéléport,,1.209,0,0,0,0
0595302T,Collège Saint-Exupéry,Collège,59512,Roubaix,200093201,Métropole Européenne de Lille,59,59 - Nord,787,50.684565,3.167461,STOPAREA:59:1918,ROUBAIX - Eurotéléport,,1.17,0,0,0,0
0592907P,Collège Saint-Michel,Collège,59512,Roubaix,200093201,Métropole Européenne de Lille,59,59 - Nord,577,50.67861,3.1915,STOPAREA:59:1919,ROUBAIX - Fraternité,bus,0.491,1,1,2,2
0592905M,Collège Sainte-Marie,Collège,59512,Roubaix,200093201,Métropole Européenne de Lille,59,59 - Nord,459,50.696279,3.176439,STOPAREA:59:1918,ROUBAIX - Eurotéléport,bus | rail,0.613,0,2,0,40
0594634S,Collège Théodore Monod,Collège,59512,Roubaix,200093201,Métropole Européenne de Lille,59,59 - Nord,370,50.672117,3.18259,STOPAREA:59:1149,HEM - Poste,,1.328,0,0,0,0
0592824Z,Ecole maternelle Albert Camus,École,59512,Roubaix,200093201,Métropole Européenne de Lille,59,59 - Nord,216,50.690609,3.18406,STOPAREA:59:1918,ROUBAIX - Eurotéléport,bus,0.282,2,2,4,4
0592069D,Ecole maternelle Albert Samain,École,59512,Roubaix,200093201,Métropole Européenne de Lille,59,59 - Nord,144,50.703751,3.18883,STOPAREA:59:1918,ROUBAIX - Eurotéléport,,1.511,0,0,0,0
0592067B,Ecole maternelle Alphonse Daudet,École,59512,Roubaix,200093201,Métropole Européenne de Lille,59,59 - Nord,25,50.696593,3.193541,STOPAREA:59:1917,ROUBAIX - Buisine,bus,0.984,0,1,0,2
0592107V,Ecole maternelle Charles Perrault,École,59512,Roubaix,200093201,Métropole Européenne de Lille,59,59 - Nord,31,50.687547,3.21636,STOPAREA:59:1919,ROUBAIX - Fraternité,,1.614,0,0,0,0
0592100M,Ecole maternelle Edouard Vaillant,École,59512,Roubaix,200093201,Métropole Européenne de Lille,59,59 - Nord,180,50.675989,3.17502,STOPAREA:59:1919,ROUBAIX - Fraternité,,1.575,0,0,0,0
0592106U,Ecole maternelle Ernest Renan,École,59512,Roubaix,200093201,Métropole Européenne de Lille,59,59 - Nord,210,50.68878,3.18471,STOPAREA:59:1917,ROUBAIX - Buisine,bus,0.301,2,2,4,4
0592076L,Ecole maternelle George Sand,École,59512,Roubaix,200093201,Métropole Européenne de Lille,59,59 - Nord,74,50.695493,3.15663,StopArea:OCE87286732,Roubaix,bus | rail,0.485,1,1,38,38
0592101N,Ecole maternelle Jacques Prévert,École,59512,Roubaix,200093201,Métropole Européenne de Lille,59,59 - Nord,119,50.689288,3.18702,STOPAREA:59:1917,ROUBAIX - Buisine,bus,0.176,1,3,2,6
0592823Y,Ecole maternelle Jean Macé,École,59512,Roubaix,200093201,Métropole Européenne de Lille,59,59 - Nord,153,50.688197,3.201239,STOPAREA:59:1919,ROUBAIX - Fraternité,bus,0.778,0,2,0,4
0592078N,Ecole maternelle Jules Verne,École,59512,Roubaix,200093201,Métropole Européenne de Lille,59,59 - Nord,380,50.686629,3.16145,StopArea:OCE87281055,Croix l'Allumette,bus | rail,0.728,0,1,0,10
0592102P,Ecole maternelle Lavoisier,École,59512,Roubaix,200093201,Métropole Européenne de Lille,59,59 - Nord,213,50.68162,3.180809,STOPAREA:59:1917,ROUBAIX - Buisine,bus,0.932,0,2,0,4
0592099L,Ecole maternelle Linne,École,59512,Roubaix,200093201,Métropole Européenne de Lille,59,59 - Nord,113,50.675006,3.18742,STOPAREA:59:1919,ROUBAIX - Fraternité,bus,0.983,0,1,0,2
0592070E,Ecole maternelle Paul Valéry,École,59512,Roubaix,200093201,Métropole Européenne de Lille,59,59 - Nord,80,50.695258,3.18696,STOPAREA:59:1918,ROUBAIX - Eurotéléport,bus,0.647,0,2,0,4
0592103R,Ecole maternelle Pierre de Ronsard,École,59512,Roubaix,200093201,Métropole Européenne de Lille,59,59 - Nord,118,50.683573,3.201371,STOPAREA:59:1919,ROUBAIX - Fraternité,bus,0.472,1,1,2,2
0592684X,Ecole primaire Anatole France,École,59512,Roubaix,200093201,Métropole Européenne de Lille,59,59 - Nord,351,50.679207,3.16964,STOPAREA:59:1918,ROUBAIX - Eurotéléport,,1.538,0,0,0,0
0592109X,Ecole primaire Boileau - Pasteur,École,59512,Roubaix,200093201,Métropole Européenne de Lille,59,59 - Nord,437,50.687402,3.19298,STOPAREA:59:1917,ROUBAIX - Buisine,bus,0.302,1,3,2,6
0592072G,Ecole primaire Condorcet,École,59512,Roubaix,200093201,Métropole Européenne de Lille,59,59 - Nord,266,50.6892,3.15875,StopArea:OCE87281055,Croix l'Allumette,bus | rail,0.6,0,2,0,48
0596114A,Ecole primaire Edgard Quinet - Paul Bert,École,59512,Roubaix,200093201,Métropole Européenne de Lille,59,59 - Nord,269,50.703604,3.18786,STOPAREA:59:1918,ROUBAIX - Eurotéléport,,1.47,0,0,0,0
0595442V,Ecole primaire Elsa Triolet,École,59512,Roubaix,200093201,Métropole Européenne de Lille,59,59 - Nord,224,50.696654,3.17159,StopArea:OCE87286732,Roubaix,bus | rail,0.582,0,2,0,40
0592096H,Ecole primaire Ernest Renan,École,59512,Roubaix,200093201,Métropole Européenne de Lille,59,59 - Nord,225,50.689008,3.18444,STOPAREA:59:1917,ROUBAIX - Buisine,bus,0.326,2,2,4,4
0595602U,Ecole primaire François Villon,École,59512,Roubaix,200093201,Métropole Européenne de Lille,59,59 - Nord,274,50.693228,3.172751,STOPAREA:59:1918,ROUBAIX - Eurotéléport,bus | rail,0.567,0,2,0,40
0595217A,Ecole primaire Henri Carrette,École,59512,Roubaix,200093201,Métropole Européenne de Lille,59,59 - Nord,135,50.700537,3.1751,StopArea:OCE87286732,Roubaix,bus | rail,0.986,0,1,0,38
0596212G,Ecole primaire Jean Macé,École,59512,Roubaix,200093201,Métropole Européenne de Lille,59,59 - Nord,230,50.687926,3.20042,STOPAREA:59:1919,ROUBAIX - Fraternité,bus,0.721,0,2,0,4
0592057R,Ecole primaire Jules Ferry,École,59512,Roubaix,200093201,Métropole Européenne de Lille,59,59 - Nord,482,50.696689,3.180349,STOPAREA:59:1918,ROUBAIX - Eurotéléport,bus,0.599,0,1,0,2
0594107U,Ecole primaire Jules Guesde,École,59512,Roubaix,200093201,Métropole Européenne de Lille,59,59 - Nord,646,50.674151,3.1911,STOPAREA:59:1919,ROUBAIX - Fraternité,bus,0.963,0,1,0,2
0592085W,Ecole primaire Lavoisier,École,59512,Roubaix,200093201,Métropole Européenne de Lille,59,59 - Nord,258,50.682108,3.181339,STOPAREA:59:1917,ROUBAIX - Buisine,bus,0.866,0,2,0,4
0592075K,Ecole primaire Legouve,École,59512,Roubaix,200093201,Métropole Européenne de Lille,59,59 - Nord,355,50.688044,3.16845,STOPAREA:59:1918,ROUBAIX - Eurotéléport,bus | rail,0.904,0,2,0,40
0592071F,Ecole primaire Lucie Aubrac,École,59512,Roubaix,200093201,Métropole Européenne de Lille,59,59 - Nord,536,50.691984,3.15859,StopArea:OCE87286732,Roubaix,bus | rail,0.527,0,2,0,48
0594327H,Ecole primaire Léo Lagrange,École,59512,Roubaix,200093201,Métropole Européenne de Lille,59,59 - Nord,245,50.684572,3.204991,STOPAREA:59:1919,ROUBAIX - Fraternité,bus,0.748,0,1,0,2
0594965B,Ecole primaire Léon Gambetta,École,59512,Roubaix,200093201,Métropole Européenne de Lille,59,59 - Nord,250,50.692994,3.18575,STOPAREA:59:1918,ROUBAIX - Eurotéléport,bus,0.433,1,2,2,4
0592098K,Ecole primaire Michelet,École,59512,Roubaix,200093201,Métropole Européenne de Lille,59,59 - Nord,302,50.684797,3.18206,STOPAREA:59:1917,ROUBAIX - Buisine,bus,0.616,0,3,0,6
0595938J,Ecole primaire Voltaire-Diderot,École,59512,Roubaix,200093201,Métropole Européenne de Lille,59,59 - Nord,313,50.69688,3.167069,StopArea:OCE87286732,Roubaix,bus | rail,0.291,1,1,38,38
0594066Z,Ecole primaire privée Jeanne d'Arc,École,59512,Roubaix,200093201,Métropole Européenne de Lille,59,59 - Nord,663,50.677755,3.16687,StopArea:OCE87281055,Croix l'Allumette,,1.497,0,0,0,0
