epci_code,epci_nom,code_departement,departement,population_2023_communes,communes_total,communes_avec_licences_ffn,communes_avec_bassin,communes_avec_licences_sans_bassin,nb_qpv,pop_qpv,licences_ffn_2023,licences_toutes_2023,licences_hors_scol_2023,bassins_total,installations_total,bassins_dsp,part_dsp_bassins,bassins_regie,part_regie_bassins,bassins_prive_hors_dsp,part_autre_hors_dsp_bassins,bassins_usage_scolaires,part_bassins_usage_scolaires,bassins_site_scolaire_explicit,part_bassins_site_scolaire_explicit,bassins_qpv,bassins_qpv_200m,surface_totale_bassins_m2,bassins_pour_100k_hab,licences_ffn_pour_1000hab,licences_ffn_par_bassin,part_population_qpv
200044030,Communauté de communes des 7 Vallées,62,62 - Pas-de-Calais,29425,69,11,1,11,0,0,25,4992,4142,3,1,0,0.0,3,1.0,0,0.0,3,1.0,0,0.0,0,0,330.0,10.19541206457094,0.8496176720475785,8.333333333333334,0.0
200069482,Communauté de communes des Campagnes de l'Artois,62,62 - Pas-de-Calais,33290,96,51,0,51,0,0,227,6717,5561,0,0,0,,0,,0,,0,,0,,0,0,0.0,0.0,6.818864523881046,,0.0
200069235,Communauté de communes du Haut Pays du Montreuillois,62,62 - Pas-de-Calais,15742,49,12,0,12,0,0,25,3450,2838,0,0,0,,0,,0,,0,,0,,0,0,0.0,0.0,1.58810824545801,,0.0
246201016,Communauté de communes du Pays de Lumbres,62,62 - Pas-de-Calais,24135,36,33,1,32,0,0,246,5585,4373,2,1,0,0.0,2,1.0,0,0.0,2,1.0,0,0.0,0,0,600.0,8.286720530350115,10.19266625233064,123.0,0.0
200035442,Communauté de communes du Sud-Artois,62,62 - Pas-de-Calais,26936,64,31,1,30,0,0,83,4707,3150,1,1,0,0.0,1,1.0,0,0.0,1,1.0,0,0.0,0,0,250.0,3.712503712503712,3.081378081378082,83.0,0.0
200033579,Communauté urbaine d'Arras,62,62 - Pas-de-Calais,109781,46,46,2,44,6,13716,1105,24802,18264,5,3,0,0.0,5,1.0,0,0.0,5,1.0,0,0.0,3,3,1345.0,4.554522185077563,10.06549402902142,221.0,0.1249396525810477
248000531,Communauté d'agglomération Amiens Métropole,80,80 - Somme,182854,39,32,1,31,7,31535,702,38768,31325,11,3,3,0.2727272727272727,7,0.6363636363636364,1,0.09090909090909091,9,0.8181818181818182,0,0.0,3,3,4013.0,6.015728395331795,3.839128485020836,63.81818181818182,0.172459995406171
200070993,Communauté d'agglomération de la Baie de Somme,80,80 - Somme,47779,43,28,1,27,3,6587,409,10709,8280,4,1,4,1.0,0,0.0,0,0.0,2,0.5,0,0.0,0,0,1805.0,8.371878858912911,8.560246133238453,102.25,0.1378639151091484
200070969,Communauté de communes Avre Luce Noye,80,80 - Somme,21536,47,19,1,18,0,0,72,5893,4484,3,1,0,0.0,3,1.0,0,0.0,3,1.0,0,0.0,0,0,525.5,13.93016344725111,3.343239227340268,24.0,0.0
200071223,Communauté de communes Nièvre et Somme,80,80 - Somme,27719,36,14,0,14,0,0,32,5785,4690,0,0,0,,0,,0,,0,,0,,0,0,0.0,0.0,1.154442800966846,,0.0
200070936,Communauté de communes Ponthieu-Marquenterre,80,80 - Somme,32650,71,45,0,45,0,0,117,7751,5412,0,0,0,,0,,0,,0,,0,,0,0,0.0,0.0,3.583460949464012,,0.0
200071181,Communauté de communes Somme Sud-Ouest,80,80 - Somme,38045,119,24,0,24,0,0,60,8463,6840,0,0,0,,0,,0,,0,,0,,0,0,0.0,0.0,1.577079773951899,,0.0
200070928,Communauté de communes Terre de Picardie,80,80 - Somme,17997,43,20,0,20,0,0,41,3945,3126,0,0,0,,0,,0,,0,,0,,0,0,0.0,0.0,2.27815747068956,,0.0
200070985,Communauté de communes de l'Est de la Somme,80,80 - Somme,19688,41,15,1,14,0,0,34,4309,3031,2,1,1,0.5,0,0.0,1,0.5,2,1.0,0,0.0,0,0,500.0,10.15847216578627,1.726940268183665,17.0,0.0
200037059,Communauté de communes de la Haute Somme (Combles - Péronne - Roisel),80,80 - Somme,26454,60,28,1,27,0,0,100,6912,4609,2,2,0,0.0,2,1.0,0,0.0,2,1.0,0,0.0,0,0,625.0,7.560293339381568,3.780146669690784,50.0,0.0
247600588,Communauté de communes des Villes Sœurs,80,80 - Somme,13744,13,3,0,3,0,0,8,2763,1878,0,0,0,,0,,0,,0,,0,,0,0,0.0,0.0,0.5820721769499418,,0.0
200070977,Communauté de communes du Grand Roye,80,80 - Somme,25268,62,23,1,22,0,0,81,5401,3899,1,1,0,0.0,1,1.0,0,0.0,1,1.0,0,0.0,0,0,313.0,3.957574798163686,3.205635586512585,81.0,0.0
248000747,Communauté de communes du Pays du Coquelicot,80,80 - Somme,27909,65,42,1,41,0,0,226,6302,4814,1,1,0,0.0,1,1.0,0,0.0,1,1.0,0,0.0,0,0,250.0,3.583073560500197,8.097746246730445,226.0,0.0
200069672,Communauté de communes du Ternois,80,80 - Somme,37150,103,40,2,38,0,0,111,6623,5012,4,2,0,0.0,3,0.75,1,0.25,0,0.0,0,0.0,0,0,821.0,10.7671601615074,2.987886944818304,27.75,0.0
200070951,Communauté de communes du Territoire Nord Picardie,80,80 - Somme,30818,65,18,0,18,0,0,42,6578,5416,0,0,0,,0,,0,,0,,0,,0,0,0.0,0.0,1.362839898760465,,0.0
248000499,Communauté de communes du Val de Somme,80,80 - Somme,26501,33,25,0,25,0,0,69,6685,6036,0,0,0,,0,,0,,0,,0,,0,0,0.0,0.0,2.603675333006302,,0.0
200070944,Communauté de communes du Vimeu,80,80 - Somme,22234,25,16,1,15,0,0,41,5182,3557,1,1,0,0.0,0,0.0,1,1.0,1,1.0,0,0.0,0,0,0.0,4.497616263380408,1.844022667985967,41.0,0.0
