id_equipement,id_installation,installation,equipement,code_commune,commune,epci_code,epci_nom,dep_code,departement,typologie_commune_source,particularite_installation,particularite_installation_brute,famille_equipement,type_equipement,code_type_equipement,rnb_id,type_utilisation,longueur_m,largeur_m,surface_bassin_m2,profondeur_min_m,profondeur_max_m,nb_couloirs,longitude,latitude,activites
E003I627580010,I627580010,Hélicéa,BASSIN LUDIQUE,62758,Saint-Martin-Boulogne,246200729,CA du Boulonnais,62,Pas-de-Calais,Grands centres urbains,"Complexe sportif,Piscine,Patinoire",Complexe sportif | Piscine | Patinoire,Bassin de natation,Bassin ludique de natation,103,PPWF5ZKTKV2C,"Individuel(s),famille(s),Autre - association(s) et groupes divers",30.0,10.0,100.0,0.9,1.3,,1.64395,50.731,Baignade loisirs
E004I023400001,I023400001,Piscine,Grande salle de musculation,02340,Gauchy,200071892,CA du Saint-Quentinois,02,Aisne,Ceintures urbaines,Piscine,Piscine,Equipement d'activités de forme et de santé,Salle de musculation/cardiotraining,802,BB2C4RPQF8KQ,"Individuel(s),famille(s)",,,,,,,3.2914,49.83087,Musculation
E004I026910012,I026910012,Piscine Jean Bouin,Terrain de Beach-Volley,02691,Saint-Quentin,200071892,CA du Saint-Quentinois,02,Aisne,Centres urbains intermédiaires,Piscine,Piscine,Terrain extérieur de petits jeux collectifs,Terrain de beach-volley,2902,,"Individuel(s),famille(s),Autre - association(s) et groupes divers",,,,,,,3.30916,49.8537,Volley-ball / Volley-ball de plage (beach-volley) / Green-Volley
E002I023810011,I023810011,"Espace aquatique ""L'Ile Verte""",Petit bassin,02381,Hirson,240200600,CC des Trois Rivières,02,Aisne,Petites villes,"Base de plein air et/ou de loisirs,Piscine",Base de plein air et/ou de loisirs | Piscine,Bassin de natation,Bassin ludique de natation,103,,"Individuel(s),famille(s),Scolaires,universités,Autre - association(s) et groupes divers",45.0,20.0,400.0,0.6,1.2,,4.09963,49.92398,Baignade loisirs
E002I028100025,I028100025,Piscine Intercommunale de Villers-Cotterêts,Bassin intérieur,02810,Villers-Cotterêts,200071991,CC Retz-en-Valois,02,Aisne,Centres urbains intermédiaires,Piscine,Piscine,Bassin de natation,Bassin mixte de natation,101,R2FVMHPPR5EQ,"Individuel(s),famille(s),Clubs sportifs,comités,ligues,fédérations,Scolaires,universités",25.0,10.0,250.0,0.9,2.1,,3.087628,49.260515,Aquagym | Baignade loisirs | Natation course sportive
E002I026910035,I026910035,Base Urbaine de Loisirs de Saint Quentin,Pistes de Bowling,02691,Saint-Quentin,200071892,CA du Saint-Quentinois,02,Aisne,Centres urbains intermédiaires,"Complexe sportif,Piscine,Patinoire",Complexe sportif | Piscine | Patinoire,Bowling,Bowling,301,NNH171HDB4CR,"Individuel(s),famille(s)",,,,,,,3.28562,49.83933,Bowling
E002I805700001,I805700001,Centre aquatique Alméo,Bassin ludique,80570,Moreuil,200070969,CC Avre Luce Noye,80,Somme,Bourgs ruraux,Piscine,Piscine,Bassin de natation,Bassin ludique de natation,103,KHW35W4AGF2D,"Individuel(s),famille(s),Clubs sportifs,comités,ligues,fédérations,Scolaires,universités",,,170.0,0.8,1.3,,2.49116,49.7673,Aquagym | Baignade loisirs | Natation course sportive
E002I806200031,I806200031,Piscine Tournesol,Terrain de beach-volley,80620,Péronne,200037059,CC de la Haute Somme (Combles - Péronne - Roisel),80,Somme,Petites villes,Piscine,Piscine,Terrain extérieur de petits jeux collectifs,Terrain de beach-volley,2902,,"Individuel(s),famille(s)",,,,,,,2.94525,49.93553,Volley-ball / Volley-ball de plage (beach-volley) / Green-Volley
E002I595440006,I595440006,PISCINE MUNICIPALE,BASSIN LUDIQUE,59544,Saint-Saulve,245901160,CA Valenciennes Métropole,59,Nord,Grands centres urbains,Piscine,Piscine,Bassin de natation,Bassin ludique de natation,103,BQK7ZVYZ3K5M,"Individuel(s),famille(s),Autre - association(s) et groupes divers",8.0,8.0,64.0,1.0,1.0,,3.52196,50.36444,Baignade loisirs
E002I020710003,I020710003,"Camping ""La Croix du vieux Pont",Petit bassin extérieur,02071,Berny-Rivière,200071991,CC Retz-en-Valois,02,Aisne,Rural à habitat dispersé,Piscine,Piscine,Bassin de natation,Bassin ludique de natation,103,,"Individuel(s),famille(s)",10.0,10.0,20.0,0.9,0.9,,3.12937,49.40507,Baignade loisirs
E002I027200001,I027200001,Espace sportif - Centre aquatique Rêvéo,Piste d'athlétisme,02720,Sissonne,240200576,CC de la Champagne Picarde,02,Aisne,Bourgs ruraux,"Complexe sportif,Piscine",Complexe sportif | Piscine,Equipement d'athlétisme,Piste d'athlétisme isolée,1004,,"Clubs sportifs,comités,ligues,fédérations,Scolaires,universités,Autre - association(s) et groupes divers",,,,,,,3.89705,49.5661,Course sur piste
E002I026910012,I026910012,Piscine Jean Bouin,Grand bassin extérieur,02691,Saint-Quentin,200071892,CA du Saint-Quentinois,02,Aisne,Centres urbains intermédiaires,Piscine,Piscine,Bassin de natation,Bassin mixte de natation,101,,"Individuel(s),famille(s),Clubs sportifs,comités,ligues,fédérations,Scolaires,universités,Autre - association(s) et groupes divers",25.0,15.0,375.0,1.9,3.7,,3.30887,49.85321,Aquagym | Baignade loisirs
E001I028100025,I028100025,Piscine Intercommunale de Villers-Cotterêts,Bassin extérieur,02810,Villers-Cotterêts,200071991,CC Retz-en-Valois,02,Aisne,Centres urbains intermédiaires,Piscine,Piscine,Bassin de natation,Bassin sportif de natation,102,,"Individuel(s),famille(s),Scolaires,universités,Autre - association(s) et groupes divers",25.0,12.5,312.5,0.9,2.5,,3.087675,49.260192,Aquagym | Baignade loisirs | Natation course sportive
E006I800010025,I800010025,Piscine : AQU'ABB,Fosse à plongeon,80001,Abbeville,200070993,CA de la Baie de Somme,80,Somme,Centres urbains intermédiaires,Piscine,Piscine,Bassin de natation,Fosse à plongeon,104,CP8V8GMPVN8B,"Individuel(s),famille(s),Clubs sportifs,comités,ligues,fédérations",15.0,12.0,180.0,5.0,5.0,,1.83996,50.11069,Plongeon
E006I805700001,I805700001,Centre aquatique Alméo,Salle de cardio training,80570,Moreuil,200070969,CC Avre Luce Noye,80,Somme,Bourgs ruraux,Piscine,Piscine,Equipement d'activités de forme et de santé,Salle de musculation/cardiotraining,802,KHW35W4AGF2D,"Individuel(s),famille(s),Clubs sportifs,comités,ligues,fédérations,Scolaires,universités,Autre - association(s) et groupes divers",,,,,,,2.49116,49.7673,Activités de forme et de santé | Musculation
E007I023810011,I023810011,"Espace aquatique ""L'Ile Verte""",Salle de fitness,02381,Hirson,240200600,CC des Trois Rivières,02,Aisne,Petites villes,"Base de plein air et/ou de loisirs,Piscine",Base de plein air et/ou de loisirs | Piscine,Equipement d'activités de forme et de santé,Salle de cours collectifs,801,,"Individuel(s),famille(s)",,,,,,,4.098482,49.923711,Activités de forme et de santé | Autres Danses
E007I027200001,I027200001,Espace sportif - Centre aquatique Rêvéo,"Piscine, bassin 2",02720,Sissonne,240200576,CC de la Champagne Picarde,02,Aisne,Bourgs ruraux,"Complexe sportif,Piscine",Complexe sportif | Piscine,Bassin de natation,Bassin ludique de natation,103,3YFJW8RK28YF,"Individuel(s),famille(s),Clubs sportifs,comités,ligues,fédérations,Scolaires,universités,Autre - association(s) et groupes divers",,,149.0,1.3,1.3,,3.898473,49.566217,Aquagym | Baignade loisirs
E005I800210059,I800210059,Coliseum,Salle de chorégraphie,80021,Amiens,248000531,CA Amiens Métropole,80,Somme,Grands centres urbains,"Complexe sportif,Piscine,Patinoire",Complexe sportif | Piscine | Patinoire,Salle ou terrain spécialisé,Salle de danse,2105,SV51SDFKPJTJ,"Clubs sportifs,comités,ligues,fédérations,Scolaires,universités",,,,,,,2.28889,49.89371,Aikido / Aikibudo / Budo | Autres Danses | Danses par Couple (Danses de compétition) | Gymnastique volontaire | Kendo / Iaïdo / Naginata / Jodo / Sport chanbara
E005I800210162,I800210162,Centre Aquatique Amiens Metropole,plateau cardio training,80021,Amiens,248000531,CA Amiens Métropole,80,Somme,Grands centres urbains,Piscine,Piscine,Equipement d'activités de forme et de santé,Salle de musculation/cardiotraining,802,,"Individuel(s),famille(s),Clubs sportifs,comités,ligues,fédérations,Autre - association(s) et groupes divers",,,,,,,2.290417,49.87343,Cyclisme en salle | Gymnastique Aérobic
E002I020370001,I020370001,Complexe sportif,Petit bassin,02037,Aulnois-sous-Laon,200043495,CA du Pays de Laon,02,Aisne,Bourgs ruraux,"Complexe sportif,Piscine",Complexe sportif | Piscine,Bassin de natation,Bassin ludique de natation,103,,"Individuel(s),famille(s),Scolaires,universités",19.0,6.0,114.0,0.3,1.2,,3.61387,49.60672,Baignade loisirs
E002I020590004,I020590004,Piscine Lucien Lahaye,Bassin de natation ludique,02059,Beautor,200071785,CA Chauny-Tergnier-La Fère,02,Aisne,Ceintures urbaines,Piscine,Piscine,Bassin de natation,Bassin ludique de natation,103,NK7PKZ8GZ3SM,"Individuel(s),famille(s),Clubs sportifs,comités,ligues,fédérations,Scolaires,universités,Autre - association(s) et groupes divers",15.0,12.0,188.0,0.6,1.2,,3.34366,49.64394,Activités de forme et de santé | Baignade loisirs
E002I021730004,I021730004,Espace Aquatique Oasis,Bassin sportif,02173,Chauny,200071785,CA Chauny-Tergnier-La Fère,02,Aisne,Centres urbains intermédiaires,Piscine,Piscine,Bassin de natation,Bassin sportif de natation,102,SXSJK8XT3WZB,"Individuel(s),famille(s),Clubs sportifs,comités,ligues,fédérations,Scolaires,universités",25.0,15.0,375.0,0.7,1.8,,3.21247,49.61923,Baignade loisirs | Natation course sportive | Natation synchronisée | Water-Polo
E002I024080034,I024080034,Le dôme - Centre aquatique & patinoire,Aire de sports de glace ludique N°1,02408,Laon,200043495,CA du Pays de Laon,02,Aisne,Centres urbains intermédiaires,"Piscine,Patinoire",Piscine | Patinoire,Aire de sports de glaces,Aire de sports de glace ludique,1503,9QB4BVH3SAVD,"Individuel(s),famille(s),Scolaires,universités,Autre - association(s) et groupes divers",,,,,,,3.65216,49.56711,Ballet sur glace / Danse sur glace / Patinage artistique
E002I021680004,I021680004,Complexe Citélium,Bassin ludique,02168,Château-Thierry,200072031,CA de la Région de Château-Thierry,02,Aisne,Centres urbains intermédiaires,Piscine,Piscine,Bassin de natation,Bassin ludique de natation,103,,"Individuel(s),famille(s),Clubs sportifs,comités,ligues,fédérations,Scolaires,universités,Autre - association(s) et groupes divers",15.0,6.5,107.5,0.8,1.4,,3.39133,49.0667,Aquagym | Baignade loisirs
E003I590090058,I590090058,CENTRE NAUTIQUE BABYLONE,BASSIN,59009,Villeneuve-d'Ascq,200093201,Métropole Européenne de Lille,59,Nord,Grands centres urbains,Piscine,Piscine,Bassin de natation,Bassin mixte de natation,101,G6D2HNB8SBFD,"Individuel(s),famille(s),Clubs sportifs,comités,ligues,fédérations,Scolaires,universités,Autre - association(s) et groupes divers",25.0,15.0,490.0,0.6,2.5,,3.143764,50.652045,Aquagym | Natation course sportive | Plongée subaquatique (Plongée libre) | Sauvetage côtier/Surfboat | Triathlon | Water-Polo
E003I591220022,I591220022,Stade Nautique Liberté,Bassin Ludique,59122,Cambrai,200068500,CA de Cambrai,59,Nord,Centres urbains intermédiaires,Piscine,Piscine,Bassin de natation,Bassin ludique de natation,103,64XH6A4NK3FE,"Individuel(s),famille(s),Scolaires,universités,Autre - association(s) et groupes divers",15.0,5.0,75.0,0.3,1.5,,3.2267,50.1723,Baignade loisirs
E003I591720022,I591720022,Centre Aqualudique Natur&O,Bassin extérieur nordique,59172,Denain,200042190,CA de la Porte du Hainaut,59,Nord,Centres urbains intermédiaires,Piscine,Piscine,Bassin de natation,Bassin ludique de natation,103,QRCZY959RKH3,"Individuel(s),famille(s),Clubs sportifs,comités,ligues,fédérations,Scolaires,universités,Autre - association(s) et groupes divers",,,201.4,,,,3.393402,50.322217,Baignade loisirs
E003I592730013,I592730013,complexe Maurice Baude et Piscine Municipale,Petit Bassin,59273,Gravelines,245900428,CU de Dunkerque,59,Nord,Petites villes,Piscine,Piscine,Bassin de natation,Bassin ludique de natation,103,MFWJJ7G4HAVN,"Individuel(s),famille(s),Clubs sportifs,comités,ligues,fédérations,Scolaires,universités",10.0,10.0,100.0,0.4,1.1,,2.137227,50.986166,Aquagym | Natation course sportive
E003I591390015,I591390015,Espace Nautique Intercommunal (ENI),Bassin d'apprentissage,59139,Caudry,200030633,CA du Caudrésis et du Catésis,59,Nord,Centres urbains intermédiaires,Piscine,Piscine,Bassin de natation,Bassin sportif de natation,102,DRERWZMSTKC9,"Individuel(s),famille(s),Clubs sportifs,comités,ligues,fédérations,Scolaires,universités,Autre - association(s) et groupes divers",12.0,12.0,144.0,1.0,1.4,,3.39568,50.12819,Activités de forme et de santé | Aquagym | Baignade loisirs
E003I593030010,I593030010,Piscine des WEPPES,Bassin éducatif,59303,Herlies,200093201,Métropole Européenne de Lille,59,Nord,Ceintures urbaines,Piscine,Piscine,Bassin de natation,Bassin sportif de natation,102,,"Individuel(s),famille(s),Clubs sportifs,comités,ligues,fédérations,Scolaires,universités",10.0,5.0,50.0,1.0,1.0,,2.854375,50.576812,Baignade loisirs
E003I593780017,I593780017,Piscine Municipale,Grand Bassin,59378,Marcq-en-Barœul,200093201,Métropole Européenne de Lille,59,Nord,Grands centres urbains,Piscine,Piscine,Bassin de natation,Bassin sportif de natation,102,PHGE3EN1AC9X,"Individuel(s),famille(s),Clubs sportifs,comités,ligues,fédérations,Scolaires,universités,Autre - association(s) et groupes divers",25.0,15.0,375.0,2.0,2.0,,3.08659,50.66599,Baignade loisirs | Natation course sportive | Natation synchronisée | Plongée subaquatique (Plongée libre)
E003I595270004,I595270004,"Complexe Piscine, volley",PISCINE MUNICIPALE GRAND BASSIN,59527,Saint-André-lez-Lille,200093201,Métropole Européenne de Lille,59,Nord,Grands centres urbains,Piscine,Piscine,Bassin de natation,Bassin sportif de natation,102,,"Clubs sportifs,comités,ligues,fédérations,Scolaires,universités",25.0,12.5,312.5,1.8,4.6,,3.04966,50.65853,Baignade loisirs | Natation course sportive | Plongée d'exploration / Photographie subaquatique
E003I020710003,I020710003,"Camping ""La Croix du vieux Pont",Bassin intérieur,02071,Berny-Rivière,200071991,CC Retz-en-Valois,02,Aisne,Rural à habitat dispersé,Piscine,Piscine,Bassin de natation,Bassin ludique de natation,103,,"Individuel(s),famille(s),Scolaires,universités",22.0,9.0,198.0,0.9,2.5,,3.12926,49.40491,Aquagym | Baignade loisirs
E004I023810011,I023810011,"Espace aquatique ""L'Ile Verte""",Espace billard,02381,Hirson,240200600,CC des Trois Rivières,02,Aisne,Petites villes,"Base de plein air et/ou de loisirs,Piscine",Base de plein air et/ou de loisirs | Piscine,Salle ou terrain spécialisé,Salle de billard,2103,,"Individuel(s),famille(s)",,,,,,,4.09963,49.92398,Billard (Français (carambole) | Snooker | Anglais | Américain)
E004I024080034,I024080034,Le dôme - Centre aquatique & patinoire,Bassin de natation sportif,02408,Laon,200043495,CA du Pays de Laon,02,Aisne,Centres urbains intermédiaires,"Piscine,Patinoire",Piscine | Patinoire,Bassin de natation,Bassin sportif de natation,102,9QB4BVH3SAVD,"Individuel(s),famille(s),Clubs sportifs,comités,ligues,fédérations,Scolaires,universités,Autre - association(s) et groupes divers",25.0,15.0,375.0,2.1,2.3,,3.65216,49.56711,Activités de forme et de santé | Baignade loisirs | Nage avec palmes | Natation course sportive | Natation synchronisée | Water-Polo
E003I600570045,I600570045,Aquaspace,Bassin sportif,60057,Beauvais,200067999,CA du Beauvaisis,60,Oise,Centres urbains intermédiaires,Piscine,Piscine,Bassin de natation,Bassin sportif de natation,102,2D2RTZT5H2QT,"Individuel(s),famille(s),Clubs sportifs,comités,ligues,fédérations,Scolaires,universités,Autre - association(s) et groupes divers",25.0,21.0,525.0,1.8,2.6,,2.094182,49.451773,Baignade loisirs | Hockey subaquatique | Nage avec palmes | Natation course sportive | Natation synchronisée | Plongée en apnée | Water-Polo
