id_installation,installation,commune,departement,epci_nom,current_status,priority_label,priority_score,suggested_status,suggested_status_label,confidence,ready_for_override,evidence_domain_type,evidence_url,evidence_title,evidence_snippet,evidence_origin,query_used,review_comment
I627580010,Hélicéa,Saint-Martin-Boulogne,Pas-de-Calais,CA du Boulonnais,Ouvert probable,,2,,,,0,,,,,,,Aucune evidence suffisamment fiable detectee.
I595710003,PISCINE,Solesmes,Nord,CC du Pays Solesmois,Ouvert probable,,2,,,,0,,,,,,,Aucune evidence suffisamment fiable detectee.
I601390001,PISCINE AQUATHELLE,Chambly,Oise,CC Thelloise,Ouvert probable,,2,,,,0,,,,,,,Aucune evidence suffisamment fiable detectee.
I596460016,PISCINE CENTRE NAUTIQUE CALYPSO,Wasquehal,Nord,Métropole Européenne de Lille,Ouvert probable,,2,,,,0,,,,,,,Aucune evidence suffisamment fiable detectee.
I590090057,PISCINE DU TRIOLO,Villeneuve-d'Ascq,Nord,Métropole Européenne de Lille,Ouvert probable,,2,,,,0,,,,,,,Aucune evidence suffisamment fiable detectee.
I620410045,PISCINE ELIE DESBIN,Arras,Pas-de-Calais,CU d'Arras,Ouvert probable,,2,,,,0,,,,,,,Aucune evidence suffisamment fiable detectee.
I621930005,PISCINE EMILE RANSON,Calais,Pas-de-Calais,CA Grand Calais Terres et Mers,Ouvert probable,,2,,,,0,,,,,,,Aucune evidence suffisamment fiable detectee.
I620410067,PISCINE GEORGES DAULLE,Arras,Pas-de-Calais,CU d'Arras,Ouvert probable,,2,,,,0,,,,,,,Aucune evidence suffisamment fiable detectee.
I626430016,PISCINE INTERCOMMUNAL OCEANE,Outreau,Pas-de-Calais,CA du Boulonnais,Ouvert probable,,2,,,,0,,,,,,,Aucune evidence suffisamment fiable detectee.
I601030008,PISCINE INTERCOMMUNALE,Bresles,Oise,CA du Beauvaisis,Ouvert probable,,2,,,,0,,,,,,,Aucune evidence suffisamment fiable detectee.
I592490005,PISCINE MUNICIPALE,Fourmies,Nord,CC du Sud Avesnois,Ouvert probable,,2,,,,0,,,,,,,Aucune evidence suffisamment fiable detectee.
I593680009,PISCINE MUNICIPALE,La Madeleine,Nord,Métropole Européenne de Lille,Ouvert probable,,2,,,,0,,,,,,,Aucune evidence suffisamment fiable detectee.
I595440006,PISCINE MUNICIPALE,Saint-Saulve,Nord,CA Valenciennes Métropole,Ouvert probable,,2,,,,0,,,,,,,Aucune evidence suffisamment fiable detectee.
I596540006,PISCINE MUNICIPALE,Waziers,Nord,CA Douaisis Agglo,Ouvert probable,,2,,,,0,,,,,,,Aucune evidence suffisamment fiable detectee.
