id_equipement,id_installation,installation,equipement,code_commune,commune,epci_code,epci_nom,dep_code,departement,typologie_commune_source,particularite_installation,particularite_installation_brute,famille_equipement,type_equipement,code_type_equipement,rnb_id,uai,survey_date,state_change_date,observation_installation,observation_equipement,handicap_access_types,transport_access_modes,opening_authorized_flag,erp_type,erp_category,year_service,service_period,last_major_works_date,last_major_works_period,last_major_works_year,last_major_works_motives,energy_sources,pmr_access_detail,sensory_access_detail,type_utilisation,free_access_flag,seasonal_only_flag,longueur_m,largeur_m,surface_bassin_m2,profondeur_min_m,profondeur_max_m,nb_couloirs,installation_out_of_service_flag,longitude,latitude,activites,operational_status_code,operational_status_label,operational_status_reason,status_source,status_source_url,status_reviewed_at,status_confidence,status_verified_by,status_is_manual,status_override_comment
E005I591220022,I591220022,Stade Nautique Liberté,Plaine de Jeux d'eau Extérieur,59122,Cambrai,200068500,CA de Cambrai,59,Nord,Centres urbains intermédiaires,Piscine,Piscine,Bassin de natation,Bassin ludique de natation,103,,,2025-03-31,2024-04-24,,Mêmes aménagements complémentaires,Handicap moteur,Bus,1,X,2,2011.0,A partir de 2005,,,,,,Douches,,"Individuel(s),famille(s)",0,0,20.0,20.0,400.0,0.1,0.1,,0,3.2267,50.1723,Baignade loisirs,open_probable,Ouvert probable,Aucun signal de fermeture détecté dans Data ES.,Data ES calculé,,,,,0,
E005I591390015,I591390015,Espace Nautique Intercommunal (ENI),salle cardio,59139,Caudry,200030633,CA du Caudrésis et du Catésis,59,Nord,Centres urbains intermédiaires,Piscine,Piscine,Equipement d'activités de forme et de santé,Salle de musculation/cardiotraining,802,DRERWZMSTKC9,,2025-03-31,2024-04-24,"Installation comprennant un bassin sportif, ludique, d'apprentissage et reception toboggan + espace remise en forme",Mêmes aménagements complémentaires que bassin sportif. x,Handicap moteur,,0,,,2014.0,A partir de 2005,,,,,Gaz,"Aire de jeu,Cheminements",,"Individuel(s),famille(s)",0,0,,,,,,,0,3.39567,50.12827,Activités de forme et de santé,open_probable,Ouvert probable,Aucun signal de fermeture détecté dans Data ES.,Data ES calculé,,,,,0,
E005I592860012,I592860012,"Centre Aquatique Loos Haubourdin ""NEPTUNIA""",Salle Cardio,59286,Haubourdin,200093201,Métropole Européenne de Lille,59,Nord,Grands centres urbains,Piscine,Piscine,Equipement d'activités de forme et de santé,Salle de musculation/cardiotraining,802,N87HD4E2E758,,2025-03-31,2024-04-24,,,Handicap moteur,,1,X,2,2008.0,A partir de 2005,,,,,Gaz,"Accueil,Aire de jeu,Cheminements,Douches,Sanitaires,Vestiaires",Sanitaires,"Individuel(s),famille(s)",0,0,,,,,,,1,2.99678,50.6145,Activités de forme et de santé,temporary_closed,Fermé temporairement / travaux,Fermeture anticipée au 1er septembre 2025 annoncée officiellement pour Neptunia.,Ville d'Haubourdin,https://www.haubourdin.fr/2025/08/19/fermeture-piscine-neptunia/,2026-03-11,Forte,,1,Fermeture anticipée au 1er septembre 2025 annoncée officiellement pour Neptunia.
E005I593400009,I593400009,PISCINE PAUL HANCOLAS ET SALLE DEMARTINICOURT,Skate Park,59340,Leffrinckoucke,245900428,CU de Dunkerque,59,Nord,Grands centres urbains,"Piscine,Complexe sportif",Piscine | Complexe sportif,Skatepark & vélo Freestyle,Skatepark,2603,,,2025-03-31,2024-04-24,Piscine entièrement refaite en 2012/2013,situé entre la piscine et l'école,Handicap moteur,,0,,,2013.0,A partir de 2005,,,,,,"Accueil,Aire de jeu",,"Individuel(s),famille(s)",1,0,,,,,,,0,2.439279,51.054624,Planche à roulettes (Skate),open_probable,Ouvert probable,Aucun signal de fermeture détecté dans Data ES.,Data ES calculé,,,,,0,
E005I595990002,I595990002,Tourcoing les Bains,Bassin d'apprentissage,59599,Tourcoing,200093201,Métropole Européenne de Lille,59,Nord,Grands centres urbains,Piscine,Piscine,Bassin de natation,Bassin ludique de natation,103,GGVTK9QR2E9Q,,2025-03-31,2024-04-24,,,Handicap moteur,,1,X,2,2008.0,A partir de 2005,,,,,Gaz,"Aire de jeu,Cheminements,Douches,Vestiaires",,"Individuel(s),famille(s),Clubs sportifs,comités,ligues,fédérations,Scolaires,universités",0,0,25.0,15.0,375.0,0.8,1.2,,0,3.160983,50.724075,Aquagym | Baignade loisirs,open_probable,Ouvert probable,Aucun signal de fermeture détecté dans Data ES.,Data ES calculé,,,,,0,
E010I800210059,I800210059,Coliseum,Dôme - grande patinoire - salle polyvalente,80021,Amiens,248000531,CA Amiens Métropole,80,Somme,Grands centres urbains,"Complexe sportif,Piscine,Patinoire",Complexe sportif | Piscine | Patinoire,Aire de sports de glaces,Aire de sports de glace sportive,1501,SV51SDFKPJTJ,,2025-03-31,2024-02-22,"Parking à proximité mais non spécifique au Coliseum. Pour les équipements extérieurs, le public n'a pas accès ni aux vestiaires, ni aux wc.",Transformable à la demande (ex : Fed cup court de tennis),Handicap moteur,Bus,1,L | X,1,1996.0,1995-2004,2004,1995-2004,2004.0,Vétusté normale | remise à niveau,,"Sanitaires,Tribunes,Vestiaires",Sanitaires,"Individuel(s),famille(s),Clubs sportifs,comités,ligues,fédérations,Scolaires,universités",0,0,,,,,,,0,2.28889,49.89371,Ballet sur glace / Danse sur glace / Patinage artistique | Hockey sur glace / Ringuette,open_probable,Ouvert probable,Aucun signal de fermeture détecté dans Data ES.,Data ES calculé,,,,,0,
E005I620480002,I620480002,COMPLEXE BASLY,SALLE BASLY,62048,Auchel,200072460,"CA de Béthune-Bruay, Artois-Lys Romane",62,Pas-de-Calais,Centres urbains intermédiaires,"Complexe sportif,Piscine",Complexe sportif | Piscine,Salle multisports,Salle multisports (gymnase),1901,9RRMZZNKVGSC,,2025-03-31,2024-04-24,,RAS,,,1,X,,1956.0,1945-1964,,A partir de 2005,2005.0,Mise en conformité avec les règlements (sécurité | incendie | hygiène ...) | Vétusté normale | remise à niveau,Fuel,"Accueil,Cheminements,Sanitaires",,"Clubs sportifs,comités,ligues,fédérations,Scolaires,universités",0,0,,,,,,,0,2.468973,50.507511,Activités de forme et de santé | Autres Danses | Basket-Ball | Football / Football en salle (Futsal) | Handball / Mini hand / Handball de plage | Tennis | Volley-ball / Volley-ball de plage (beach-volley) / Green-Volley,open_probable,Ouvert probable,Aucun signal de fermeture détecté dans Data ES.,Data ES calculé,,,,,0,
E009I621930039,I621930039,Complexe Icéo,Patinoire,62193,Calais,200090751,CA Grand Calais Terres et Mers,62,Pas-de-Calais,Grands centres urbains,"Complexe sportif,Piscine,Patinoire",Complexe sportif | Piscine | Patinoire,Aire de sports de glaces,Aire de sports de glace ludique,1503,EJNAS4SPSAFT,,2025-03-31,2024-04-24,,RAS,Handicap moteur,Bus,1,X,1,2007.0,A partir de 2005,,,,,,"Accueil,Cheminements",,"Individuel(s),famille(s),Scolaires,universités",0,0,,,,,,,0,1.89623,50.95616,Ballet sur glace / Danse sur glace / Patinage artistique,open_probable,Ouvert probable,Aucun signal de fermeture détecté dans Data ES.,Data ES calculé,,,,,0,
E005I020710003,I020710003,"Camping ""La Croix du vieux Pont",Bowling 10 pistes,02071,Berny-Rivière,200071991,CC Retz-en-Valois,02,Aisne,Rural à habitat dispersé,Piscine,Piscine,Bowling,Bowling,301,,,2025-03-31,2024-02-05,"660 emplacements (Châlets, Cabanes dans les arbres et tentes)",RAS,Handicap moteur,,0,,,,,,,,,,,,,0,0,,,,,,,0,3.128348,49.406191,Bowling,open_probable,Ouvert probable,Aucun signal de fermeture détecté dans Data ES.,Data ES calculé,,,,,0,
E005I024080034,I024080034,Le dôme - Centre aquatique & patinoire,Bassin de natation Ludique,02408,Laon,200043495,CA du Pays de Laon,02,Aisne,Centres urbains intermédiaires,"Piscine,Patinoire",Piscine | Patinoire,Bassin de natation,Bassin ludique de natation,103,9QB4BVH3SAVD,,2025-03-31,2024-04-23,,,Handicap moteur,Bus,1,X,1,2003.0,1995-2004,,,,,Gaz | Autre,"Accueil,Aire de jeu,Cheminements,Douches,Sanitaires,Tribunes,Vestiaires",,"Individuel(s),famille(s),Clubs sportifs,comités,ligues,fédérations,Scolaires,universités,Autre - association(s) et groupes divers",0,0,25.0,10.0,100.0,0.8,1.2,,0,3.65216,49.56711,Activités de forme et de santé | Baignade loisirs,open_probable,Ouvert probable,La page horaires du Dôme affiche des créneaux publics réguliers,Le Dôme Laon,https://www.ledome-equalia.fr/tarifs-horaires/,2026-03-11,Moyenne,,1,La page horaires du Dôme affiche des créneaux publics réguliers
