epci_code,epci_nom,code_departement,departement,bassins_total,bassins_dsp,bassins_regie,bassins_prive_hors_dsp,surface_totale_bassins_m2,surface_dsp_bassins_m2,surface_regie_bassins_m2,surface_autre_hors_dsp_bassins_m2,part_dsp_bassins,part_regie_bassins,part_autre_hors_dsp_bassins
200018083,CC de Desvres-Samer,62,Pas-de-Calais,2,0,0,2,750.0,0.0,0.0,750.0,0.0,0.0,1.0
246200844,CC de la Région d'Audruicq,62,Pas-de-Calais,1,0,1,0,250.0,0.0,250.0,0.0,0.0,1.0,0.0
200044030,CC des 7 Vallées,62,Pas-de-Calais,3,0,3,0,330.0,0.0,330.0,0.0,0.0,1.0,0.0
246201016,CC du Pays de Lumbres,62,Pas-de-Calais,2,0,2,0,600.0,0.0,600.0,0.0,0.0,1.0,0.0
200035442,CC du Sud-Artois,62,Pas-de-Calais,1,0,1,0,250.0,0.0,250.0,0.0,0.0,1.0,0.0
200069672,CC du Ternois,62,Pas-de-Calais,4,0,3,1,821.0,0.0,725.0,96.0,0.0,0.75,0.25
200033579,CU d'Arras,62,Pas-de-Calais,5,0,5,0,1345.0,0.0,1345.0,0.0,0.0,1.0,0.0
248000531,CA Amiens Métropole,80,Somme,11,3,7,1,4013.0,1770.0,2043.0,200.0,0.2727272727272727,0.6363636363636364,0.09090909090909091
200070993,CA de la Baie de Somme,80,Somme,4,4,0,0,1805.0,1805.0,0.0,0.0,1.0,0.0,0.0
200070969,CC Avre Luce Noye,80,Somme,3,0,3,0,525.5,0.0,525.5,0.0,0.0,1.0,0.0
200070985,CC de l'Est de la Somme,80,Somme,2,1,0,1,500.0,250.0,0.0,250.0,0.5,0.0,0.5
200037059,CC de la Haute Somme (Combles - Péronne - Roisel),80,Somme,2,0,2,0,625.0,0.0,625.0,0.0,0.0,1.0,0.0
200070977,CC du Grand Roye,80,Somme,1,0,1,0,313.0,0.0,313.0,0.0,0.0,1.0,0.0
248000747,CC du Pays du Coquelicot,80,Somme,1,0,1,0,250.0,0.0,250.0,0.0,0.0,1.0,0.0
200070944,CC du Vimeu,80,Somme,1,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0
