id_equipement,id_installation,installation,equipement,code_commune,commune,dep_code,departement,epci_code,epci_nom,type_equipement,categorie,proprietaire,type_proprietaire,type_gestionnaire,gestion_dsp_source,mode_gestion_calcule,surface_bassin_m2,longueur_m,largeur_m,profondeur_min_m,profondeur_max_m,nb_couloirs,type_utilisation,usage_scolaires,site_scolaire_explicit,particularite_installation,uai,qpv,qpv_flag,qpv_200m,qpv_200m_flag,longitude,latitude,activites
E001I591780040,I591780040,PISCINE DES GLACIS,BASSIN SPORTIF,59178,Douai,59,Nord,200044618,CA Douaisis Agglo,Bassin sportif de natation,structurant,Ville de Douai,Commune,Commune,False,Régie publique,313.0,25.0,12.5,1.8,2.8,,"[""Individuel(s),famille(s),Clubs sportifs,comités,ligues,fédérations,Scolaires,universités,Autre - association(s) et groupes divers""]",1,0,Piscine,,,0,,0,3.08011,50.36233,"Aquagym, Nage avec palmes, Natation course sportive, Natation synchronisée, Plongée en apnée, Tir sur cible subaquatique, Water-Polo"
E002I591780040,I591780040,PISCINE DES GLACIS,PETIT BAIN,59178,Douai,59,Nord,200044618,CA Douaisis Agglo,Bassin mixte de natation,structurant,Ville de Douai,Commune,Commune,False,Régie publique,125.0,10.0,12.5,0.5,1.2,,"[""Individuel(s),famille(s),Clubs sportifs,comités,ligues,fédérations,Scolaires,universités,Autre - association(s) et groupes divers""]",1,0,Piscine,,,0,,0,3.08011,50.36233,"Aquagym, Baignade loisirs"
E001I595690010,I595690010,PISCINE TOURNESOL,Bassin de natation,59569,Sin-le-Noble,59,Nord,200044618,CA Douaisis Agglo,Bassin sportif de natation,structurant,,Commune,Commune,False,Régie publique,250.0,25.0,10.0,0.8,2.0,,"[""Individuel(s),famille(s),Clubs sportifs,comités,ligues,fédérations,Scolaires,universités""]",1,0,Piscine,,,0,,0,3.11689,50.36169,"Aquagym, Baignade loisirs, Natation course sportive, Water-Polo"
E001I596540006,I596540006,PISCINE MUNICIPALE,GRAND BASSIN,59654,Waziers,59,Nord,200044618,CA Douaisis Agglo,Bassin sportif de natation,structurant,,Commune,Commune,False,Régie publique,312.5,25.0,12.5,2.0,2.2,,"[""Individuel(s),famille(s),Clubs sportifs,comités,ligues,fédérations,Scolaires,universités,Autre - association(s) et groupes divers""]",1,0,Piscine,,QN05909M,1,QN05909M,1,3.10711,50.38553,"Natation course sportive, Natation en eau libre"
E002I596540006,I596540006,PISCINE MUNICIPALE,PETIT BASSIN,59654,Waziers,59,Nord,200044618,CA Douaisis Agglo,Bassin ludique de natation,,,Commune,Commune,False,Régie publique,156.0,12.0,12.0,0.6,1.2,,"[""Individuel(s),famille(s),Clubs sportifs,comités,ligues,fédérations,Scolaires,universités,Autre - association(s) et groupes divers""]",1,0,Piscine,,QN05909M,1,QN05909M,1,3.10711,50.38553,"Aquagym, Natation en eau libre"
E005I590330010,I590330010,Complexe Aquatique l'Aiguade,Bassin de reception Toboggan,59033,Aulnoye-Aymeries,59,Nord,200043396,CA Maubeuge Val de Sambre,Bassin de réception de toboggan,,,EPCI,EPCI,False,Régie publique,30.0,10.0,3.0,0.6,1.0,,"[""Individuel(s),famille(s),Clubs sportifs,comités,ligues,fédérations,Scolaires,universités""]",1,0,Piscine,,,0,,0,3.83504,50.20291,Baignade loisirs
E003I590330010,I590330010,Complexe Aquatique l'Aiguade,Grand Bassin,59033,Aulnoye-Aymeries,59,Nord,200043396,CA Maubeuge Val de Sambre,Bassin sportif de natation,structurant,CA MAUBEUGE VAL DE SAMBRE,EPCI,EPCI,False,Régie publique,312.5,25.0,12.5,1.3,2.0,,"[""Individuel(s),famille(s),Clubs sportifs,comités,ligues,fédérations,Scolaires,universités,Autre - association(s) et groupes divers""]",1,0,Piscine,,,0,,0,3.835087,50.202891,"Baignade loisirs, Natation course sportive"
E004I590330010,I590330010,Complexe Aquatique l'Aiguade,Petit Bassin Ludique,59033,Aulnoye-Aymeries,59,Nord,200043396,CA Maubeuge Val de Sambre,Bassin ludique de natation,,CA MAUBEUGE VAL DE SAMBRE,EPCI,EPCI,False,Régie publique,110.0,,7.0,0.9,1.2,,"[""Individuel(s),famille(s),Clubs sportifs,comités,ligues,fédérations,Scolaires,universités""]",1,0,Piscine,,,0,,0,3.835044,50.202904,Baignade loisirs
E001I592910011,I592910011,Piscine André Leduc,Grand Bassin,59291,Hautmont,59,Nord,200043396,CA Maubeuge Val de Sambre,Bassin sportif de natation,structurant,,Commune,Commune,False,Régie publique,375.0,25.0,15.0,1.8,3.2,,"[""Individuel(s),famille(s),Clubs sportifs,comités,ligues,fédérations,Scolaires,universités,Autre - association(s) et groupes divers""]",1,0,Piscine,,,0,,0,3.92723,50.24661,"Baignade loisirs, Hockey subaquatique, Natation course sportive, Plongée subaquatique (Plongée libre)"
E002I592910011,I592910011,Piscine André Leduc,Petit Bassin,59291,Hautmont,59,Nord,200043396,CA Maubeuge Val de Sambre,Bassin mixte de natation,structurant,,Commune,Commune,False,Régie publique,192.0,16.0,12.0,0.6,1.3,,"[""Individuel(s),famille(s),Clubs sportifs,comités,ligues,fédérations,Scolaires,universités,Autre - association(s) et groupes divers""]",1,0,Piscine,,,0,,0,3.92723,50.24661,"Aquagym, Baignade loisirs"
E001I593240009,I593240009,PISCINE COUBERTIN,BASSIN,59324,Jeumont,59,Nord,200043396,CA Maubeuge Val de Sambre,Bassin sportif de natation,structurant,,EPCI,EPCI,False,Régie publique,250.0,25.0,10.0,0.6,2.0,,"[""Individuel(s),famille(s),Clubs sportifs,comités,ligues,fédérations,Scolaires,universités""]",1,0,Piscine,,QN05913M,1,QN05913M,1,4.10038,50.29762,"Aquagym, Baignade loisirs, Natation course sportive"
E001I593920011,I593920011,PISCINE TOURNESOL DE L'EPINETTE,Bassin natation,59392,Maubeuge,59,Nord,200043396,CA Maubeuge Val de Sambre,Bassin sportif de natation,structurant,Communauté d'Agglomération Maubeuge-Val de Sambre,EPCI,EPCI,False,Régie publique,250.0,25.0,10.0,0.9,2.0,,"[""Individuel(s),famille(s),Clubs sportifs,comités,ligues,fédérations,Scolaires,universités,Autre - association(s) et groupes divers""]",1,0,Piscine,,QN05917M,1,QN05917M,1,3.96401,50.288945,"Aquagym, Baignade loisirs, Natation course sportive"
E001I594950004,I594950004,PISCINE INTERCOMMUNALE,BASSIN Sportif,59495,Recquignies,59,Nord,200043396,CA Maubeuge Val de Sambre,Bassin sportif de natation,structurant,COMMUNAUTE D AGGLO,EPCI,EPCI,False,Régie publique,250.0,25.0,10.0,0.8,2.0,,"[""Individuel(s),famille(s),Clubs sportifs,comités,ligues,fédérations,Scolaires,universités,Autre - association(s) et groupes divers""]",1,0,Piscine,,,0,,0,4.043162,50.287516,"Aquagym, Baignade loisirs, Natation course sportive"
E001I594840006,I594840006,Piscine du Sivah,Grand Bassin,59484,Quiévrechain,59,Nord,245901160,CA Valenciennes Métropole,Bassin sportif de natation,structurant,SIVAH,EPCI,EPCI,False,Régie publique,375.0,25.0,15.0,1.8,3.8,,"[""Individuel(s),famille(s),Clubs sportifs,comités,ligues,fédérations,Scolaires,universités""]",1,0,Piscine,,,0,,0,3.66917,50.40058,"Baignade loisirs, Natation course sportive, Natation synchronisée, Plongée en apnée, Water-Polo"
E002I594840006,I594840006,Piscine du Sivah,Petit Bassin,59484,Quiévrechain,59,Nord,245901160,CA Valenciennes Métropole,Bassin sportif de natation,structurant,SIVAH,EPCI,EPCI,False,Régie publique,300.0,20.0,15.0,0.2,1.8,,"[""Individuel(s),famille(s),Clubs sportifs,comités,ligues,fédérations,Scolaires,universités""]",1,0,Piscine,,,0,,0,3.66917,50.40058,"Aquagym, Baignade loisirs"
