id_installation,installation,code_commune,commune,epci_code,epci_nom,code_departement,departement,basins_total_on_site,school_basins_total_on_site,students_per_basin_on_site,students_per_school_basin_on_site,schools_total,schools_geolocated_total,students_total,students_geolocated_total,primary_students,secondary_students,distance_coverage_share,drive_time_coverage_share,average_distance_to_installation_km,average_drive_time_to_installation_min,average_drive_distance_to_installation_km,average_distance_to_basin_km,students_within_5km_installation_share,students_within_15min_installation_share,basins_total,installations_total,school_basins_total,students_per_basin,students_per_installation,students_per_school_basin
I621190008,CENTRE AQUATIQUE CITE d'O,62119,Béthune,200072460,"CA de Béthune-Bruay, Artois-Lys Romane",62,Pas-de-Calais,4,3,3782.0,5042.666667,61,61,15128,15128,6446,8682,1.0,1.0,2.864819,7.197813,4.255207,2.810696,0.862242,0.916314,4,1,3,3782.0,15128.0,5042.666667
I620410067,PISCINE GEORGES DAULLE,62041,Arras,200033579,CU d'Arras,62,Pas-de-Calais,2,2,7474.5,7474.5,72,72,14949,14949,5827,9122,1.0,1.0,3.648768,7.696112,4.749077,3.456607,0.813365,0.910094,2,1,2,7474.5,14949.0,7474.5
I591720022,Centre Aqualudique Natur&O,59172,Denain,200042190,CA de la Porte du Hainaut,59,Nord,4,4,3690.5,3690.5,68,68,14762,14762,7846,6916,1.0,1.0,3.026763,5.927566,4.098745,2.885392,0.759518,0.982861,4,1,4,3690.5,14762.0,3690.5
I625250002,SCENEO,62525,Longuenesse,200069037,CA du Pays de Saint-Omer,62,Pas-de-Calais,2,2,7177.0,7177.0,73,73,14354,14354,7593,6761,1.0,1.0,3.24839,5.684548,4.231567,2.490607,0.780688,0.959175,2,1,2,7177.0,14354.0,7177.0
I800210059,Coliseum,80021,Amiens,248000531,CA Amiens Métropole,80,Somme,4,4,3475.75,3475.75,52,52,13903,13903,5388,8515,1.0,1.0,1.706105,5.025445,2.442673,1.705529,0.983888,0.985615,4,1,4,3475.75,13903.0,3475.75
I593780017,Piscine Municipale,59378,Marcq-en-Barœul,200093201,Métropole Européenne de Lille,59,Nord,2,2,6916.0,6916.0,40,40,13832,13832,7704,6128,1.0,1.0,1.892451,5.098391,2.619706,1.552384,0.988577,0.988577,2,1,2,6916.0,13832.0,6916.0
I594100005,PISCINE MUNICIPALE,59410,Mons-en-Barœul,200093201,Métropole Européenne de Lille,59,Nord,3,3,4588.666667,4588.666667,53,53,13766,13766,6150,7616,1.0,1.0,1.345384,4.479927,2.085759,1.287306,1.0,1.0,3,1,3,4588.666667,13766.0,4588.666667
I601590032,PISCINE HIVER AVENUE D'HUY,60159,Compiègne,200067965,CA de la Région de Compiègne et de la Basse Automne,60,Oise,2,2,6849.5,6849.5,56,56,13699,13699,5523,8176,1.0,1.0,1.848643,4.28447,2.437042,1.770651,0.940945,0.971458,2,1,2,6849.5,13699.0,6849.5
I800010025,Piscine : AQU'ABB,80001,Abbeville,200070993,CA de la Baie de Somme,80,Somme,4,2,3328.25,6656.5,86,86,13313,13313,6348,6965,1.0,1.0,8.984461,13.235869,11.390841,8.838545,0.477729,0.54443,4,1,2,3328.25,13313.0,6656.5
I028100025,Piscine Intercommunale de Villers-Cotterêts,02810,Villers-Cotterêts,200071991,CC Retz-en-Valois,02,Aisne,2,2,6450.5,6450.5,86,86,12901,12901,7342,5559,1.0,1.0,13.908465,15.940611,17.051053,12.985071,0.195644,0.302302,2,1,2,6450.5,12901.0,6450.5
